TIPO MERCADO,FECHA_VECTOR,EMISOR,VENCIMIENTO,TASA CUPON VIG,% PRECIO,RENDIMIENTO,ORIGEN,SOBRETASA,TIPO INSTRUMENTO,DIAS POR VENCER,PRECIO SUCIO,PRECIO LIMPIO,INTERESES,COMPONENTE DEUDA,COMPONENTE DERIVADO,PLAZO,FECHA INICIOCUPON,FECHA FINCUPON,MONEDA,ISIN,VALOR NOMINAL
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,14/05/2026,BNP PARIBAS,04/11/2026,0,165.077777,0,TEORICO,0,CALL NOTE,174,11910361.61055,11910361.61055,0,68230.724224,50872.891562,1826,04/11/2021,04/11/2026,BRL,XS2403126977,72150
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,14/05/2026,Citigroup Inc.,04/11/2026,0,145.987624,0,TEORICO,0,CALL NOTE,174,41038289.007392,41038289.007392,0,265721.794583,144661.096089,1826,04/11/2021,04/11/2026,BRL,XS2307351820,281108
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,14/05/2026,BNP PARIBAS,10/02/2027,0,234.023592,0,TEORICO,0,CALL NOTE,272,5850.5898,5850.5898,0,22.905814,35.600084,1826,10/02/2022,10/02/2027,BRL,XS2440290356,25
MD,14/05/2026,Citigroup Inc.,27/05/2027,0,241.116956,0,TEORICO,0,CALL NOTE,378,495615903058,495615903058,0,1804898739.74514,3151260287.80051,1826,27/05/2022,27/05/2027,COP,XS2474922593,2055500000
MD,14/05/2026,BBVA,18/10/2028,0,120.760076,0,TEORICO,0,CALL NOTE,888,6038003.8,6038003.8,0,36628.852194,23751.185899,916,16/04/2026,18/10/2028,COP,XS3317190992,50000
MD,14/05/2026,BNP PARIBAS,24/06/2026,0,171.085293,0,TEORICO,0,CALL NOTE,41,3069270.15642,3069270.15642,0,17718.695775,12974.005852,64,21/04/2026,24/06/2026,COP,XS3334595587,17940
MD,14/05/2026,SANTANDER,09/05/2031,0,110.183508,0,TEORICO,0,CALL NOTE,1821,3704920.4565,3704920.4565,0,17838.404645,19210.800067,1824,11/05/2026,09/05/2031,COP,XS3291975905,33625
MD,14/05/2026,BNP PARIBAS,24/06/2026,0,178.109918,0,TEORICO,0,CALL SPREAD NOTE,41,356219836,356219836,0,1975328.403038,1586869.958668,1826,24/06/2021,24/06/2026,COP,XS2355516324,2000000
MD,14/05/2026,JP MORGAN CHASE & CO,20/08/2026,0,215.069593,0,TEORICO,0,CALL SPREAD NOTE,98,215069593,215069593,0,970768.983023,1179926.948152,1826,20/08/2021,20/08/2026,COP,XS2343802141,1000000
MD,14/05/2026,SANTANDER,18/12/2026,0,109.044842,0,TEORICO,0,CALL SPREAD NOTE,218,109.044842,109.044842,0,0.930199,0.160249,365,18/12/2025,18/12/2026,BRL,XS3231243026,1
MD,14/05/2026,SANTANDER,05/03/2029,0,110.12667,0,TEORICO,0,CALL SPREAD NOTE,1026,1101266.7,1101266.7,0,7135.737093,3876.929891,1096,05/03/2026,05/03/2029,BRL,XS3292014571,10000
MD,14/05/2026,GOLDMAN SACHS,05/03/2029,0,110.170893,0,TEORICO,0,CALL SPREAD NOTE,1026,11017089.3,11017089.3,0,69666.501669,40504.391092,1096,05/03/2026,05/03/2029,COP,XS3307978604,100000
MD,14/05/2026,Santander,26/04/2027,0.0,138.867529,0.0,TEORICO,0.0,ASIAN NOTE,347,694337645.0,694337645.0,0.0,4441289.013871,2502087.450842,731,25/04/2025,26/04/2027,COP,XS3049569687,5000000
MD,14/05/2026,BBVA,12/03/2027,0.0,118.632003,0.0,TEORICO,0.0,ASIAN NOTE,302,118632003.0,118632003.0,0.0,902395.161484,283924.869511,548,10/09/2025,12/03/2027,COP,XS3108814222,1000000
